conversation_id,tweet_ids,created_at_list,tweet_texts,human_summary,elapsed_time
b065262210783596c1fe79466b8f8985,"[87068, 87069, 87072, 87076]","{87068: Timestamp('2017-11-30 14:29:00+0000', tz='UTC'), 87069: Timestamp('2017-11-30 08:46:32+0000', tz='UTC'), 87072: Timestamp('2017-11-28 22:13:56+0000', tz='UTC'), 87076: Timestamp('2017-11-28 20:45:52+0000', tz='UTC')}","So neither my iPhone nor my Apple Watch are recording my steps/activity, and Health doesn’t recognise either source anymore for some reason. Any ideas? https://t.co/m9DPQbkftD @135060 Thank you. Have you tried restarting both devices since this started happening? @AppleSupport Yes, everything seems fine, it’s just Health and activity. @135060 Let’s move to DM and look into this a bit more. When reaching out in DM, let us know when this first started happening please. For example, did it start after an update or after installing a certain app? https://t.co/GDrqU22YpT","Health and activity functions are not working with the smartwatch and phone. Asks if the customer had restarted the items, offers to take this to DM to help resolve the issue.",1 days 17:43:08
1e1d8fd4f95c984fb78687c9e946dc97,"[607293, 607296, 607297, 607297]","{607293: Timestamp('2017-11-22 12:16:27+0000', tz='UTC'), 607296: Timestamp('2017-11-22 11:29:30+0000', tz='UTC'), 607297: Timestamp('2017-11-22 11:19:41+0000', tz='UTC')}","@115850 hi team! i m planning to get Apple AirPods ! it shows on the website it has 10 days replacement warranty, can u explain me what is it ? @264322 We've a 10days replacement policy if the item you received is damaged or defective. ^SH @264322 Yes, headsets/ earphones are not eligible for remorse returns. In case of any damage/ defect you can reach out to us, we'll check and help you accordingly. ^VN",Customer is eager to know about the replacement policy on the earphones he wishes to buy. Agent stated that it only applies if the received item is defective or damaged.,0 days 00:56:46
b5773077fa55c381260390472deff4c2,"[428555, 428556, 739293, 739295]","{428555: Timestamp('2017-10-10 13:33:05+0000', tz='UTC'), 428556: Timestamp('2017-10-10 12:32:30+0000', tz='UTC'), 739293: Timestamp('2017-10-18 15:22:17+0000', tz='UTC'), 739295: Timestamp('2017-10-18 15:38:19+0000', tz='UTC')}","@AskAmex Where do I write to address a customer service issue to higher management? @216929 Hi Chris. Which U.S. based card is this concerning? Please do not release any personal or card information. ^Clarissa @AskAmex Signed up for new card with Delta to book immediately book tix. Card number didn't come up. Customer svce refused to help. @216929 Good morning, thanks for reaching out. Please call our New Accounts Team at 877-399-3086, for assistance. They're available,",Customer having a query about delta card. Agent inform to contact New accounts Team.,8 days 03:05:49
3574d6b4418cb546a90d1561bacd66a2,"[587935, 587938, 587939, 587942, 587942]","{587935: Timestamp('2017-12-03 15:55:31+0000', tz='UTC'), 587938: Timestamp('2017-12-03 15:34:48+0000', tz='UTC'), 587939: Timestamp('2017-12-03 16:28:00+0000', tz='UTC'), 587942: Timestamp('2017-12-03 15:25:04+0000', tz='UTC')}","@AmazonHelp @115821 Wow, expected 4 packages yesterday, but only 2 showed up. 50% failure rate-not impressed. Glad I paid for fast shipping. @AmazonHelp @115821 Last month driver delivered box, sat in van for 10 min on phone, and drove off. Then got notice that package was ""lost in transit"". @258930 I'm sorry you only received two of the orders. Is this happening with the same carrier each time? We can see what options are available for the lost items, reach us by phone or chat here: https://t.co/hApLpMlfHN ^MG @258930 Okay, thanks for that info, Dave. Have you received any updates via e-mail for the last two packages you were expecting? Let us know. We'd like to help in any way we can! ^SM",The customer have a problem. The agent is very cordial and offers to follow up on the case.,0 days 01:02:56
f30d2bbc15e7ff32244761b38b67d160,"[861405, 861406]","{861405: Timestamp('2017-10-13 14:20:19+0000', tz='UTC'), 861406: Timestamp('2017-10-13 14:38:26+0000', tz='UTC')}",@GWRHelp App. I havent been able to purchase a ticket since your insane revamp. It worked perfectly before and now it's an absolute sh*tshow. @324537 Sorry to see this - I'll report to our Development team. Can you use mobile or desktop site in the meantime? Phil.,Customer cannot purchase a train ticket on the rail providers site since the revamp. Will report the issue to the development team.,0 days 00:18:07
20327b84e8b6c205b7ad7e56b2861c66,"[1044017, 1044026, 1044029]","{1044017: Timestamp('2017-10-23 09:12:29+0000', tz='UTC'), 1044026: Timestamp('2017-10-24 04:30:14+0000', tz='UTC'), 1044029: Timestamp('2017-10-23 09:36:20+0000', tz='UTC')}","@115802 @AirAsiaSupport doesn’t seem like a customer’s time/money is of value to you! just because you are a low-cost carrier!? Nvr again!! @366867 Sorry for the delay, Saim. Flight Change is subject to Change Fee (per person/per flight) at https://t.co/jNMqRBUZdx plus &gt;&gt; @AirAsiaSupport as a basic courtesy and for customer satisfaction u can take so little of efforts... remember a satisfied customer is a best marketing",The client is visibly upset with the service. The agent cannot help the customer.,0 days 19:17:45
78dcc694d8c4a59a870ef61b746994f7,"[1004500, 1004501, 1004502]","{1004500: Timestamp('2017-10-22 11:58:47+0000', tz='UTC'), 1004501: Timestamp('2017-10-21 22:25:34+0000', tz='UTC'), 1004502: Timestamp('2017-10-21 22:14:54+0000', tz='UTC')}","I don't know what @Tesco have done to their website, but it's crawling and crashing on my machine with 16 cores and 24 GB RAM. @Tesco So the problem appears to be that Firefox is running at 100% CPU for the @Tesco website tab. This is suboptimal. @357759 Hi Iain, I would like to log your feedback for our IT team, could you please DM your full name, address and postcode? Thanks - Dani",Tesco's website is badly set up and crashing a person's computer. The agent asks for intrusive personal details to log the problem which the customer refuses to provide  so the agent does not do anything helpful at all.,0 days 13:43:53
6fc68bfd953819cf6ec1329b4e6831ac,"[411383, 411386, 411389, 411390, 411393]","{411383: Timestamp('2017-10-10 13:03:05+0000', tz='UTC'), 411386: Timestamp('2017-10-09 23:40:22+0000', tz='UTC'), 411389: Timestamp('2017-10-09 23:12:15+0000', tz='UTC'), 411390: Timestamp('2017-10-09 23:00:33+0000', tz='UTC'), 411393: Timestamp('2017-10-09 22:41:21+0000', tz='UTC')}","@USCellularCares when is thrtr going to be an android update last one was April? @213129 The current android version for the Galaxy S7 is 7.0.0 and the base band version is G930R4TYU4BQE1. Is that what you have? ^KJ @USCellularCares Yes but why is it still on April when there is a September from samsung @213129 I have contacted Samsung and the current version is the most recent available for this phone at this time. ^KJ @213129 Bob, once Samsung shares the updates with us, we will then share them with customers. ^AW",Customer is enquiry about the latest android version of samsung. Agent inform that they will going to update once samsung updates.,0 days 14:21:44
01a14bf0dff4f25a0ee571acf08d779e,"[228023, 228025, 228026, 228027, 228030]","{228023: Timestamp('2017-10-08 03:40:47+0000', tz='UTC'), 228025: Timestamp('2017-10-08 03:43:45+0000', tz='UTC'), 228026: Timestamp('2017-10-08 01:35:58+0000', tz='UTC'), 228027: Timestamp('2017-10-08 01:34:58+0000', tz='UTC'), 228030: Timestamp('2017-10-08 15:04:47+0000', tz='UTC')}","@XboxSupport I don't know what a game tag is. My question is I want to buy on Amazon a game for Xbox one for some1 without Xbox live. Can I? @XboxSupport Like can I purchase/use a digital Xbox one game off Amazon without Xbox live membership. There person does have internet access @170371 Gotcha. Some game titles do require an active internet connection in order to install updates, however, if they put 1/2 ^JA @XboxSupport That didn't answer my question. If I buy a digital code of Forza horizon 3 from Amazon do I need Xbox live membership to install &amp; keep game @170371 If you purchase a digital game, you would not need an Xbox Live Gold subscription to keep it: https://t.co/7It5WcIV3z  ^EZ",Customer is asking whether he needs to install Xbox live membership if he buy a digital code. Agent updated that there is no need of Xbox live gold subscription if they purchase a digital game.,0 days 13:29:49
d63f8327d930c484d1a1e5b2c919315c,"[281388, 281390, 281395]","{281388: Timestamp('2017-10-06 11:22:26+0000', tz='UTC'), 281390: Timestamp('2017-10-06 11:11:16+0000', tz='UTC'), 281395: Timestamp('2017-10-06 11:55:30+0000', tz='UTC')}","@AmazonHelp ok, I need to change the shipping address on some shipments, I just realized they're going to the wrong place. @183043 If the order hasn't entered the shipping process then you can edit the address
https://t.co/cQ5AQodpK3 ^KM @183043 Please allow the seller a bit longer to respond. ^AT","Customer wants to change address ordered items are shipped to, and it only updated for 2 out of 3 items. The third items is with a seller on the site who will need a bit longer to respond and do the update.",0 days 00:44:14
08faf4ed9a4ba7d62725d72ddd974674,"[1164485, 1208913, 1208915]","{1164485: Timestamp('2017-10-24 17:39:35+0000', tz='UTC'), 1208913: Timestamp('2017-10-27 16:52:57+0000', tz='UTC'), 1208915: Timestamp('2017-10-27 16:52:10+0000', tz='UTC')}","Bought these biscuits a couple of weeks ago, only just opened and looked at the best before date... @49975 @393926 Is there a barcode on the tin anywhere? If there is, could you take a pic and DM it to us please &amp; also  let us know how much they cost? 2/3 @393926 Once we have those, we'll explain what happens next. Cheers, Steve :) 3/3",Customer bought a tin of biscuits and the use by date was old. Wants a photo of the tin and date and how much they cost then they'll explain what happens next.,2 days 23:13:22
e4e792473968e59f462a339f279772c4,"[46157, 46159]","{46157: Timestamp('2017-11-30 18:46:52+0000', tz='UTC'), 46159: Timestamp('2017-11-30 18:36:38+0000', tz='UTC')}",@116245 how do I make a complaint? You lot are shit @126239 Could you please DM us with more information with regards to your complaint. - Zeeshan,The customer has a big problem and is visibly upset about it. The agent tries to handle the situation in the most professional way possible.,0 days 00:10:14
36686816af9b1c053d72b68acc2311a6,"[1429152, 1429365, 1429370, 1429373]","{1429152: Timestamp('2017-11-02 06:26:06+0000', tz='UTC'), 1429365: Timestamp('2017-11-02 06:45:56+0000', tz='UTC'), 1429370: Timestamp('2017-11-02 07:31:36+0000', tz='UTC'), 1429373: Timestamp('2017-11-02 06:31:22+0000', tz='UTC')}","@SW_Help morning - when's the next train at Fulwell? Info board is frozen on 'delayed '..website shows on time! @451959 The delayed 06:23 should be with you at 06:41 and will be running fast from Teddington to Waterloo ^JM @SW_Help ...and the info sign showing no information? @451959 Thanks for the info Rhys, we'll report this fault. ^JH",Wants to know the time of the next train because the info board at the station is just showing delayed. Gives the time of the required train and will report the fault of the display board.,0 days 01:05:30
58e3bd95a270418d9fd823c4771f8641,"[39222, 39224, 39225, 39226]","{39222: Timestamp('2017-11-01 15:33:49+0000', tz='UTC'), 39224: Timestamp('2017-11-01 15:51:00+0000', tz='UTC'), 39225: Timestamp('2017-11-01 19:07:44+0000', tz='UTC'), 39226: Timestamp('2017-11-01 19:09:53+0000', tz='UTC')}",@AskeBay My sisters account has been locked as it has been linked to an account with a negative balance though this is not possible!!! @124579 We’d be happy to look into it further. Have your sister call in or reach out to us here or on Facebook. ^M @AskeBay She don’t have twitter and your call centers have been ABSOLUTELY useless @124579 Calling in will be the fastest way to resolve any issues or if she has a Facebook acct she can reach out to us there. Thanks! M,The customer have a big problem. The agent tried to solve the problem and offers choices to the customer.,0 days 03:36:04
